ID,Account,Province,Region,Tender_Type,Offer_date,Start_date,End_date_including_extension,Length_of_contract_in_Months,Market,Tender_Standard_Unit_per_year,Winning_price_per_standard_unit,Molecule,Presentation,Winning_Product,Winning_Company,Competitor_with_2nd_Lowest_Price,Competitor_2nd_Lowest_Price_per_standard_unit,Competitor_with_3rd_Lowest_Price,Competitor_3rd_Lowest_Price_per_standard_unit,Competitor_with_4th_Lowest_Price,Competitor_4th_Lowest_Price_per_standard_unit,Competitor_with_5th_Lowest_Price,Competitor_5th_Lowest_Price_per_standard_unit,Competitor_with_6th_Lowest_Price,Competitor_6th_Lowest_Price_per_standard_unit,Competitor_with_7th_Lowest_Price,Competitor_7th_Lowest_Price_per_standard_unit,Competitor_with_8th_Lowest_Price,Competitor_8th_Lowest_Price_per_standard_unit,Competitor_with_9th_Lowest_Price,Competitor_9th_Lowest_Price_per_standard_unit,Competitor_with_10th_Lowest_Price,Competitor_10th_Lowest_Price_per_standard_unit
273,Account96,Provice7,Region6,Tender Type1,05-04-2011 00:00,01-11-2011,28-02-2015,36,Market3,22816,1.30986,Molecule3,Presentation8,Product10,Company1,Company3,1.35,Company5,1.43,Company4,1.47,Company6,1.69,Company1,1.75,Company8,2.23,,,,,,
281,Account27,Provice14,Region12,Tender Type1,07-04-2011 12:00,30-11-2011,31-01-2014,26,Market3,42060,1.278,Molecule3,Presentation8,Product10,Company1,Company5,1.22,Company3,1.3,Company4,1.65,Company6,1.7,Company1,1.85,Company8,2.21,,,,,,
285,Account112,Provice2,Region2,Tender Type3,10-26-11 12:00 PM,01-01-2012,01-01-2013,12,Market3,231750,1.11,Molecule3,Presentation8,Product10,Company1,Company1,1.15,Company3,1.348,Company4,1.36,Company6,1.49,,,,,,,,,,
290,Account119,Provice13,Region10,Tender Type1,08-05-2011 13:00,01-04-2012,31-03-2013,12,Market3,22700,1.286,Molecule3,Presentation8,Product10,Company1,Company3,1.36,Company6,1.66,Company4,1.66,Company1,1.768,Company7,2.1,,,,,,,,
293,Account49,Provice16,Region14,Tender Type4,06-11-2012 12:00,31-05-2012,30-11-2014,24,Market3,3204,1.5351,Molecule3,Presentation8,Product11,Company2,Company9,3.933,Company1,,Company6,,Company4,,,,,,,,,,,
298,Account19,Provice5,Region1,Tender Type3,6-26-14 3:00 PM,01-07-2014,31-05-2015,11,Market3,16364,3.65787,Molecule3,Presentation8,Product12,Company3,Company3,0.974,Company4,1.33,Company1,3,Company9,4.75,,,,,,,,,,
303,Account19,Provice5,Region1,Tender Type3,4-23-15 12:00 PM,31-05-2015,31-05-2016,12,Market3,32572,1.39,Molecule3,Presentation8,Product12,Company4,Company4,1.18,Company6,1.65455,Company8,1.86,Company3,2.7,Company9,5.3767,,,,,,,,
305,Account58,Provice1,Region1,Tender Type4,04-08-2015 10:00,01-07-2015,30-06-2017,12,Market3,978,,Molecule3,Presentation8,,,Company5,1.39,Company3,3,,,,,,,,,,,,,,
306,Account89,Provice35,Region19,Tender Type1,01-08-2008 13:00,01-02-2008,31-07-2011,36,Market3,18000,11.07,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
307,Account53,Provice9,Region8,Tender Type1,5-16-08 12:00 PM,01-04-2008,30-11-2011,36,Market3,3314,11.24,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
308,Account12,Provice2,Region2,Tender Type1,04-08-2008 15:00,01-05-2008,30-04-2012,24,Market3,14000,11.19,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
309,Account16,Provice1,Region1,Tender Type4,6-13-08 12:00 PM,01-05-2008,30-10-2011,36,Market3,26879,11.25,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
310,Account103,Provice22,Region5,Tender Type1,7-16-08 1:00 PM,02-07-2008,01-07-2011,36,Market3,2000,11.19,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
311,Account17,Provice22,Region5,Tender Type1,03-12-2008 13:00,11-09-2008,10-09-2012,48,Market3,25000,11.24,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
312,Account5,Provice36,Region1,Tender Type1,4-29-08 12:00 PM,15-09-2008,29-02-2012,36,Market3,6300,11.05943,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
313,Account56,Provice3,Region3,Tender Type1,02-06-2008 09:00,18-09-2008,17-09-2010,12,Market3,1975,11.097,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
314,Account119,Provice13,Region10,Tender Type1,2-29-08 1:00 PM,26-09-2008,30-11-2011,24,Market3,33077,11.12,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
315,Account72,Provice37,Region5,Tender Type1,9-16-08 12:00 PM,01-10-2008,30-05-2012,36,Market3,3800,11.24,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
316,Account100,Provice29,Region1,Tender Type1,4-29-08 3:00 PM,01-10-2008,30-03-2012,36,Market3,23500,11.14,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
317,Account55,Provice38,Region19,Tender Type1,03-07-2008 13:00,23-10-2008,22-10-2012,36,Market3,20650,11.189057,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
318,Account71,Provice39,Region14,Tender Type1,10-02-2008 17:00,01-11-2008,31-10-2011,36,Market3,32200,11.1373,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
319,Account39,Provice2,Region2,Tender Type1,9-15-08 12:00 AM,01-01-2009,31-12-2011,36,Market3,14000,11.14,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
320,Account78,Provice40,Region16,Tender Type4,12-09-2008 13:00,01-01-2009,30-06-2010,12,Market3,250,11.2578,Molecule3,Presentation9,Product14,Company5,,,,,,,,,,,,,,,,,,
321,Account95,Provice21,Region6,Tender Type1,10-03-2008 12:00,01-01-2009,31-12-2014,36,Market3,37760,11.1787,Molecule3,Presentation9,Product13,Company1,,,,,,,,,,,,,,,,,,
322,Account33,Provice1,Region1,Tender Type1,11-24-08 12:00 PM,01-02-2009,30-09-2012,36,Market3,120,11.1826,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
323,Account84,Provice18,Region5,Tender Type1,1-20-09 12:00 PM,01-02-2009,31-07-2012,24,Market3,12585,,Molecule3,Presentation9,,,Company5,8.91,Company10,11.2902,,,,,,,,,,,,,,
325,Account117,Provice41,Region5,Tender Type1,12-15-08 12:00 PM,01-02-2009,30-11-2012,36,Market3,7400,11.0672,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
326,Account7,Provice3,Region3,Tender Type4,03-04-2009 12:00,31-03-2009,30-09-2009,3,Market3,3900,11.2694,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
327,Account23,Provice22,Region5,Tender Type1,4-28-09 12:00 PM,01-04-2009,30-09-2012,36,Market3,30000,8.28,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
328,Account54,Provice42,Region19,Tender Type1,05-12-2009 12:00,01-04-2009,30-11-2011,24,Market3,15940,8.36,Molecule3,Presentation9,Product14,Company5,Company5,8.37,,,,,,,,,,,,,,,,
329,Account44,Provice31,Region3,Tender Type4,05-04-2009 00:00,31-05-2009,30-11-2009,6,Market3,2294,8.37,Molecule3,Presentation9,Product15,Company3,,,,,,,,,,,,,,,,,,
330,Account26,Provice34,Region12,Tender Type1,1-30-09 12:00 PM,03-06-2009,30-06-2015,24,Market3,240000,8.37,Molecule3,Presentation9,Product15,Company3,Company10,10.6301,,,,,,,,,,,,,,,,
331,Account45,Provice3,Region3,Tender Type1,5-25-09 12:00 PM,01-08-2009,28-02-2013,36,Market3,112893,8.1,Molecule3,Presentation9,Product14,Company5,Company5,8.359,,,,,,,,,,,,,,,,
332,Account48,Provice43,Region20,Tender Type2,12-22-08 1:00 PM,01-08-2009,31-01-2013,36,Market3,26979,,Molecule3,Presentation9,Product13,Company5,,,,,,,,,,,,,,,,,,
333,Account27,Provice14,Region12,Tender Type1,4-30-09 12:00 PM,01-10-2009,30-04-2013,24,Market3,68177,8.2,Molecule3,Presentation9,Product14,Company5,Company5,8.374,,,,,,,,,,,,,,,,
334,Account50,Provice1,Region1,Tender Type1,7-28-09 12:00 PM,01-10-2009,30-03-2013,36,Market3,1010,8.16,Molecule3,Presentation9,Product16,Company6,Company10,8.35,Company5,8.36,,,,,,,,,,,,,,
336,Account53,Provice9,Region8,Tender Type2,09-11-2009 12:00,01-10-2009,30-12-2011,21,Market3,4571,7.55,Molecule3,Presentation9,Product16,Company6,Company5,8.15,Company10,8.36,,,,,,,,,,,,,,
341,Account108,Provice4,Region4,Tender Type1,10-05-2009 00:00,01-10-2009,30-03-2013,36,Market3,64069,1.11,Molecule3,Presentation9,Product16,Company6,Company1,4.39,Company11,4.92,Company5,5.05,Company10,5.3,,,,,,,,,,
342,Account40,Provice2,Region2,Tender Type1,10-19-09 12:00 AM,01-11-2009,30-04-2013,36,Market3,55540,5.38998,Molecule3,Presentation9,Product16,Company6,,,,,,,,,,,,,,,,,,
343,Account61,Provice25,Region1,Tender Type1,07-10-2009 12:00,01-01-2010,30-06-2014,48,Market3,900,8.35,Molecule3,Presentation9,Product14,Company5,,,,,,,,,,,,,,,,,,
344,Account113,Provice8,Region7,Tender Type2,12-07-2009 00:00,01-01-2010,31-12-2010,12,Market3,21000,4.85,Molecule3,Presentation9,Product15,Company3,Company1,5.6,Company11,5.7,,,,,,,,,,,,,,
346,Account82,Provice44,Region5,Tender Type1,11-09-2009 12:00,01-02-2010,31-12-2013,36,Market3,2000,7.4,Molecule3,Presentation9,Product15,Company3,Company1,8.37,,,,,,,,,,,,,,,,
349,Account82,Provice44,Region5,Tender Type1,11-09-2009 12:00,01-02-2010,31-12-2013,36,Market3,2000,5.79,Molecule3,Presentation9,Product16,Company6,Company5,7.4,Company10,8.3,Company11,8.38,,,,,,,,,,,,
352,Account15,Provice10,Region9,Tender Type1,2-15-10 12:00 PM,01-03-2010,29-09-2012,24,Market3,136775,4.1,Molecule3,Presentation9,Product17,Company7,Company2,4.2,Company5,4.38,Company1,4.749,Company10,5.3,Company4,6.5,Company11,7.34,,,,,,
358,Account81,Provice45,Region7,Tender Type2,03-04-2010 00:00,01-03-2010,30-09-2011,16,Market3,1950,4.85,Molecule3,Presentation9,Product15,Company3,Company9,5.29917,Company1,5.5,Company11,7.8,,,,,,,,,,,,
359,Account20,Provice25,Region1,Tender Type1,7-31-09 12:00 PM,01-04-2010,30-09-2014,48,Market3,67200,6.18,Molecule3,Presentation9,Product16,Company6,Company5,6.89,,,,,,,,,,,,,,,,
362,Account36,Provice46,Region2,Tender Type1,10-29-09 12:00 PM,01-04-2010,31-12-2013,36,Market3,63200,4.19958,Molecule3,Presentation9,Product16,Company6,Company5,4.38,Company11,5.26,Company10,6.3,,,,,,,,,,,,
367,Account22,Provice20,Region17,Tender Type1,03-04-2010 10:00,27-04-2010,26-06-2014,36,Market3,104772,3.89,Molecule3,Presentation9,Product16,Company6,Company4,3.9,Company3,3.97,Company2,3.98,Company9,3.99,Company5,5.57,Company11,8,,,,,,
369,Account14,Provice1,Region1,Tender Type1,02-04-2010 16:00,01-05-2010,30-04-2014,36,Market3,7300,4.47742,Molecule3,Presentation9,Product16,Company6,Company4,7,Company5,7.5,,,,,,,,,,,,,,
374,Account95,Provice21,Region6,Tender Type1,4-13-10 12:00 PM,01-05-2010,30-09-2013,20,Market3,37512,3.489,Molecule3,Presentation9,Product16,Company6,Company4,3.68,Company9,3.79,Company2,3.85019,Company3,3.87,Company5,5.5,,,,,,,,
378,Account111,Provice15,Region13,Tender Type1,04-12-2010 12:00,01-05-2010,30-06-2012,24,Market3,113839,3.489,Molecule3,Presentation9,Product16,Company6,Company4,3.61,Company9,3.79,Company3,3.9,Company5,4.2,,,,,,,,,,
380,Account107,Provice19,Region16,Tender Type1,4-30-10 12:00 PM,30-07-2010,29-07-2014,36,Market3,71140,2.93,Molecule3,Presentation9,Product18,Company8,Company1,3.3889,Company3,3.47,Company9,,,,,,,,,,,,,
385,Account51,Provice32,Region7,Tender Type1,5-19-10 12:00 PM,01-08-2010,31-05-2012,12,Market3,791045,2.721,Molecule3,Presentation9,Product14,Company1,Company4,2.89,Company3,3.49,Company5,3.85,Company1,4.5,,,,,,,,,,
387,Account94,Provice47,Region6,Tender Type1,08-02-2010 12:00,01-10-2010,30-06-2014,36,Market3,53778,3.05,Molecule3,Presentation9,Product18,Company8,Company9,3.24,Company6,4.17,Company3,4.4,Company5,4.954,Company1,5.5,Company7,,,,,,,
395,Account9,Provice33,Region1,Tender Type1,5-24-10 12:00 PM,01-11-2010,30-04-2014,36,Market3,73120,3.3,Molecule3,Presentation9,Product14,Company1,Company4,2.91,Company1,3.435,Company3,3.62,Company5,3.66,,,,,,,,,,
397,Account57,Provice23,Region10,Tender Type1,03-11-2010 12:00,01-12-2010,30-11-2014,36,Market3,34100,2.67,Molecule3,Presentation9,Product17,Company7,Company9,4.5,Company1,8.37,Company4,9.28,,,,,,,,,,,,
401,Account38,Provice48,Region2,Tender Type2,12-06-2010 00:00,31-12-2010,30-12-2011,6,Market3,7000,2.98,Molecule3,Presentation9,Product18,Company8,Company1,3.01988,Company6,3.4,Company3,3.85,Company9,8.66868,,,,,,,,,,
405,Account27,Provice14,Region12,Tender Type1,10-07-2010 00:00,01-02-2011,31-01-2015,36,Market3,102224,3,Molecule3,Presentation9,Product19,Company9,Company1,3.06,Company4,3.2,Company3,3.4,Company5,3.95,Company11,6.25,Company9,6.75,,,,,,
412,Account6,Provice2,Region2,Tender Type4,3-18-11 12:00 AM,01-03-2011,30-06-2012,10,Market3,12000,2.79,Molecule3,Presentation9,Product15,Company3,Company3,2.84,Company9,2.9432,Company4,3.05,Company6,3.29,Company7,3.5,Company8,3.925,Company1,4.2,,,,
421,Account101,Provice3,Region3,Tender Type1,2-14-11 12:00 PM,01-03-2011,28-06-2014,36,Market3,8000,3,Molecule3,Presentation9,Product17,Company7,Company1,3.15,Company4,3.3,Company8,3.68,Company5,4.0204,Company9,4.5,,,,,,,,
425,Account26,Provice34,Region12,Tender Type1,05-05-2011 12:00,28-03-2011,27-09-2013,24,Market3,150000,2.45,Molecule3,Presentation9,Product14,Company1,Company7,2,Company5,2.46,Company4,2.65,Company3,2.72,Company1,2.98,Company6,3.3,,,,,,
431,Account11,Provice1,Region1,Tender Type2,03-11-2011 12:00,01-04-2011,30-06-2012,12,Market3,7000,2.8,Molecule3,Presentation9,Product15,Company3,Company3,3,Company8,3.1,Company1,3.18,Company6,3.29,,,,,,,,,,
437,Account4,Provice2,Region2,Tender Type4,5-16-11 12:00 PM,01-05-2011,31-12-2011,8,Market3,18374,2.4512,Molecule3,Presentation9,Product14,Company1,Company4,2.564,Company5,2.76,Company3,2.89,Company1,2.96899,Company6,3.29,Company7,3.45,Company8,3.93,,,,
447,Account19,Provice5,Region1,Tender Type3,3-30-11 12:00 AM,18-05-2011,18-08-2012,48,Market3,38820,2.57,Molecule3,Presentation9,Product17,Company7,Company5,2.68,Company4,2.9,Company1,2.98,Company9,3.02,Company6,3.22,Company7,3.45,Company8,4.3988,Company11,6,,
448,Account73,Provice28,Region18,Tender Type1,11-25-10 12:00 AM,31-05-2011,30-05-2014,36,Market3,11115,2.98009,Molecule3,Presentation9,Product18,Company8,Company1,3.15009,Company5,3.2001,Company6,3.4501,Company3,3.80011,Company11,7.00021,,,,,,,,
459,Account98,Provice3,Region3,Tender Type1,05-11-2011 13:00,01-06-2011,31-05-2014,36,Market3,8000,2.52,Molecule3,Presentation9,Product14,Company1,Company5,2.54559,Company4,2.716,Company3,2.89,Company1,3,Company7,3.45,Company6,3.5,Company8,5.0272,,,,
460,Account32,Provice1,Region1,Tender Type2,09-02-2011 12:00,01-10-2011,30-04-2015,36,Market3,150,2.85,Molecule3,Presentation9,Product18,Company8,,,,,,,,,,,,,,,,,,
464,Account74,Provice6,Region5,Tender Type1,1-21-11 1:00 PM,31-10-2011,30-04-2014,36,Market3,50000,2.67,Molecule3,Presentation9,Product17,Company7,Company4,2.8,Company9,2.901,Company5,2.96,Company6,3,Company1,3.15,,,,,,,,
467,Account96,Provice7,Region6,Tender Type1,05-04-2011 00:00,01-11-2011,28-02-2015,36,Market3,33407,2.485,Molecule3,Presentation9,Product14,Company1,Company5,2.55,Company4,2.65,Company3,2.89,Company1,2.98,Company6,3.28,Company8,3.89608,,,,,,
477,Account27,Provice14,Region12,Tender Type1,07-04-2011 12:00,30-11-2011,31-01-2014,26,Market3,127780,2.201,Molecule3,Presentation9,Product14,Company1,Company5,2.36,Company3,2.65,Company4,2.65,Company6,3,Company1,3.05,Company8,3.925,,,,,,
480,Account112,Provice2,Region2,Tender Type3,10-26-11 12:00 PM,01-01-2012,01-01-2013,12,Market3,386000,2.11,Molecule3,Presentation9,Product20,Company6,Company9,2.19,Company6,2.49,Company4,2.49,Company3,2.6934,,,,,,,,,,
485,Account109,Provice8,Region7,Tender Type1,7-25-11 12:00 AM,12-01-2012,11-12-2014,24,Market3,487447,,Molecule3,Presentation9,,,Company7,1.75,Company9,2.20111,Company5,2.29,Company3,2.72,,,,,,,,,,
486,Account53,Provice9,Region8,Tender Type1,10-31-11 12:00 PM,01-03-2012,01-07-2016,48,Market3,5661,2.098,Molecule3,Presentation9,Product15,Company3,Company1,2.10999,Company6,2.11,Company4,2.22,Company3,2.35,Company9,3.9,Company8,7.55,,,,,,
496,Account15,Provice10,Region9,Tender Type1,12-05-2011 12:00,15-03-2012,14-05-2014,24,Market3,117300,1.98,Molecule3,Presentation9,Product20,Company6,Company4,1.99,Company5,2.1,Company6,2.21,Company3,2.31,Company8,3.92499,Company9,5,,,,,,
502,Account52,Provice26,Region9,Tender Type1,12-05-2011 12:00,15-03-2012,14-05-2014,24,Market3,32128,1.98,Molecule3,Presentation9,Product20,Company6,Company4,1.99,Company5,2.1,Company6,2.21,Company3,2.31,Company8,3.92499,Company9,5,,,,,,
510,Account119,Provice13,Region10,Tender Type1,08-05-2011 13:00,01-04-2012,31-03-2013,12,Market3,29500,2.23,Molecule3,Presentation9,Product15,Company3,Company9,2.33,Company3,2.65,Company4,2.725,Company1,2.89,Company7,3.17,Company6,3.39,Company8,4.02176,,,,
512,Account25,Provice11,Region10,Tender Type1,4-30-12 12:00 AM,29-04-2012,28-04-2013,12,Market3,18000,2.1,Molecule3,Presentation9,Product20,Company6,Company3,2.11,Company5,2.2,Company6,2.49,Company8,3.9,Company9,7.7,,,,,,,,
519,Account5,Provice36,Region1,Tender Type1,11-25-11 12:00 PM,07-05-2012,30-10-2015,36,Market3,17000,2,Molecule3,Presentation9,Product21,Company10,Company5,2.1,Company6,2.27,Company4,2.45,Company3,2.87,,,,,,,,,,
520,Account34,Provice42,Region19,Tender Type1,9-28-11 12:00 PM,07-05-2012,06-11-2015,36,Market3,93453,2.0201,Molecule3,Presentation9,Product15,Company3,Company1,2.11,Company6,2.48,Company4,2.65,Company3,2.783,Company8,3.92499,Company9,6,,,,,,
530,Account79,Provice12,Region11,Tender Type3,7-16-12 3:00 PM,01-08-2012,31-08-2016,48,Market3,9500,1.87,Molecule3,Presentation9,Product14,Company1,Company4,1.91,Company3,1.978,Company5,2,Company8,2.149,Company1,2.2,Company6,2.45,,,,,,
537,Account111,Provice15,Region13,Tender Type3,07-10-2012 00:00,01-08-2012,01-08-2016,48,Market3,194102,1.2489,Molecule3,Presentation9,Product20,Company6,Company12,1.8,Company9,1.87,Company4,1.97,Company5,2,Company3,2.08,Company8,2.098,,,,,,
539,Account83,Provice13,Region10,Tender Type3,7-20-12 12:00 AM,01-09-2012,30-09-2016,48,Market3,84100,1.54,Molecule3,Presentation9,Product20,Company6,Company4,1.84,Company5,2,Company3,2.04,,,,,,,,,,,,
541,Account109,Provice8,Region7,Tender Type1,12-13-12 12:00 PM,26-10-2012,31-12-2014,15,Market3,487447,1.23375,Molecule3,Presentation9,Product21,Company10,Company3,1.88,Company5,1.9299,,,,,,,,,,,,,,
549,Account19,Provice5,Region1,Tender Type3,10-11-2012 00:00,28-10-2012,28-10-2014,31,Market3,46704,1.84,Molecule3,Presentation9,Product15,Company3,Company4,1.85,Company12,1.868,Company3,1.976,Company6,2.24,Company8,2.94091,Company1,3,Company9,8.81655,,,,
550,Account112,Provice2,Region2,Tender Type3,12-03-2012 11:00,07-12-2012,07-12-2013,12,Market3,469648,1.45,Molecule3,Presentation9,Product18,Company8,Company5,1.8398,Company3,2,Company8,2.077,Company1,2.08559,,,,,,,,,,
558,Account27,Provice14,Region12,Tender Type3,12-07-2012 00:00,01-02-2013,31-01-2015,24,Market3,66261,1.829,Molecule3,Presentation9,Product15,Company3,Company12,1.23375,Company3,1.978,Company1,2.18454,Company8,2.26224,Company6,2.48,,,,,,,,
560,Account58,Provice1,Region1,Tender Type4,12-18-12 12:00 PM,01-02-2013,31-01-2014,12,Market3,5000,1.94,Molecule3,Presentation9,Product15,Company3,Company3,1.99,Company8,2.262,Company1,2.343,,,,,,,,,,,,
562,Account70,Provice39,Region14,Tender Type3,1-24-13 6:00 PM,06-02-2013,31-01-2016,36,Market3,47800,1.49,Molecule3,Presentation9,Product18,Company8,,,,,,,,,,,,,,,,,,
566,Account107,Provice19,Region16,Tender Type3,2-14-13 12:00 PM,01-03-2013,28-08-2014,12,Market3,71150,1.65,Molecule3,Presentation9,Product18,Company8,Company5,1.82,Company3,1.958,Company12,1.97,Company6,1.98,,,,,,,,,,
570,Account37,Provice27,Region1,Tender Type1,10-03-2012 12:00,31-03-2013,30-09-2016,36,Market3,3004,1.99999,Molecule3,Presentation9,Product15,Company3,Company12,2,Company4,2.1,Company3,2.21,Company6,2.54,Company8,2.94091,Company1,3,,,,,,
574,Account11,Provice1,Region1,Tender Type1,4-30-13 12:00 AM,01-05-2013,30-11-2017,48,Market3,121626,1.92,Molecule3,Presentation9,Product17,Company7,Company6,2.029,Company8,2.06115,Company5,2.25,Company1,2.40999,,,,,,,,,,
582,Account76,Provice49,Region3,Tender Type3,2-21-13 5:00 PM,20-05-2013,28-02-2017,36,Market3,200383,1.43,Molecule3,Presentation9,Product18,Company8,Company5,1.83,Company12,1.84,Company3,1.968,Company8,2.05,Company6,2.11,Company1,2.19989,,,,,,
583,Account43,Provice43,Region20,Tender Type1,4-29-13 5:00 PM,01-06-2013,31-05-2016,36,Market3,87066,1.79,Molecule3,Presentation9,Product18,Company8,Company6,1.93,Company3,,Company5,,,,,,,,,,,,,
586,Account49,Provice16,Region14,Tender Type1,4-18-12 4:00 PM,06-06-2013,30-11-2014,24,Market3,40752,1.965,Molecule3,Presentation9,Product20,Company6,Company3,2,,,,,,,,,,,,,,,,
587,Account27,Provice14,Region12,Tender Type3,04-10-2013 12:00,21-06-2013,30-06-2017,48,Market3,200158,1.37,Molecule3,Presentation9,Product18,Company8,Company6,1.94,Company3,1.978,Company5,2,,,,,,,,,,,,
592,Account100,Provice29,Region1,Tender Type4,07-05-2013 15:00,01-07-2013,31-03-2015,6,Market3,31320,1.78,Molecule3,Presentation9,Product18,Company8,Company3,1.954,Company6,2.38182,Company8,2.4,Company5,2.4,Company1,2.52,Company9,12.3191,,,,,,
598,Account111,Provice15,Region13,Tender Type3,10-15-13 11:00 AM,01-11-2013,31-10-2014,12,Market3,133500,1.55,Molecule3,Presentation9,Product18,Company8,Company12,1.7,Company6,1.82818,Company3,1.939,,,,,,,,,,,,
602,Account108,Provice4,Region4,Tender Type3,10-08-2013 12:00,01-01-2014,31-12-2016,36,Market3,240000,1.35818,Molecule3,Presentation9,Product19,Company9,Company4,1.68,Company12,1.7,Company3,1.944,Company5,2.01,,,,,,,,,,
604,Account112,Provice2,Region2,Tender Type3,11-28-13 11:00 AM,01-01-2014,31-03-2015,12,Market3,321444,1.43,Molecule3,Presentation9,Product19,Company9,Company3,2.2,Company1,8.37367,,,,,,,,,,,,,,
606,Account58,Provice1,Region1,Tender Type4,12-12-2013 12:00,01-02-2014,31-01-2015,12,Market3,2850,1.82,Molecule3,Presentation9,Product18,Company8,Company3,1.934,Company6,1.93661,,,,,,,,,,,,,,
